id,module,question,A,B,C,D,E,F,answer,explanation
SET15-Q138,Module 7: Service Catalog,Which catalog element defines a reusable set of variables?,Catalog Item,Order Guide,Variable Set,Workflow,, ,C,Variable Sets allow reuse of variables across catalog items.
SET15-Q139,Module 2: User Administration,What table stores group records in ServiceNow?,sys_user,sys_user_group,sys_group,sys_groups,, ,B,Groups are stored in the sys_user_group table.
SET15-Q140,Module 3: Configure Applications for Business,Which feature allows inline editing of records from a list?,Form Designer,Data Editor,List Editor,UI Policy,, ,C,List Editor allows editing field values directly from a list.
SET16-Q141,Module 6: Reports & Notifications,From the Knowledge list view selecting columns and exporting to Excel which option is used for exporting?,Export to PDF,Export to Excel,Export CSV,Export via Email,, ,B,List export options include Export to Excel.
SET16-Q142,Module 4: Database & Tables,What are different types of data sources that can be imported into ServiceNow? (Choose three),Local spreadsheet,External database,Email,LDAP Connection,Web Service,ABE,ServiceNow can import from spreadsheets databases and web services.
SET16-Q143,Module 3: Configure Applications for Business,Which tool is designed to schedule imports and transforms?,Transform Map,Data Source,Scheduled Import Set,Import Set Table,, ,C,Scheduled Import Sets automate imports and transforms.
SET16-Q144,Module 2: User Administration,When impersonating a user what happens to the impersonator’s roles?,Roles are combined,Roles are replaced with impersonated user’s roles,Roles are removed permanently,Roles are logged only,, ,B,During impersonation you assume the target user’s roles.
SET16-Q145,Module 3: Configure Applications for Business,What happens to user roles when a user is removed from a group?,Roles are deleted,Roles are retained permanently,Inherited roles are removed,Roles are converted to personal roles,, ,C,Group-inherited roles are removed when the user leaves the group.
SET16-Q146,Module 5: Knowledge Management,What module allows administrators to manage knowledge bases?,Self Service,Knowledge Administration,System Definition,Content Management,, ,B,Knowledge Administration is used to manage knowledge bases.
SET16-Q147,Module 3: Configure Applications for Business,What is the purpose of a Template?,Automatically trigger workflows,Populate fields with predefined values,Restrict form access,Send notifications,, ,B,Templates populate commonly used field values.
SET16-Q148,Module 3: Configure Applications for Business,Which tool displays related records at the bottom of a form?,Formatter,Related List,Reference Field,Schema Map,, ,B,Related Lists show records related to the current record.
SET16-Q149,Module 4: Database & Tables,Which type of record stores table and field definitions?,sys_db_object,sys_dictionary,sys_metadata,sys_table,, ,B,System Dictionary stores table and field definitions.
SET16-Q150,Module 6: Reports & Notifications,Which feature allows grouping and trending KPIs over time?,Dashboards,Reports,Performance Analytics,Event Management,, ,C,Performance Analytics groups and trends KPIs over time.
SET17-Q151,Module 4: Database & Tables,What record type can you use to define the tables and configuration forms that are presented to users?,Forms,UI Policies,Data Dictionary,Dictionary Overrides,, ,C,The Data Dictionary defines table and field attributes.
SET17-Q152,Module 3: Configure Applications for Business,When performing a data import from a spreadsheet which ServiceNow component is used to define the mapping?,Import Set Table,Transform Map,Data Source,Scheduled Import,, ,B,Transform Maps define how imported data maps to target tables.
SET17-Q153,Module 6: Reports & Notifications,Which of the following is used for grouping report data? (Choose two),Aggregation,Condition Builder,Group by,Order by,, ,AC,Aggregation and Group By are used for grouping report data.
SET17-Q154,Module 4: Database & Tables,What method allows you to define how data is stored and related across tables?,Business Rules,Schema Map,Database Views,Data Policies,, ,B,Schema Maps visually define table relationships.
SET17-Q155,Module 2: User Administration,What is the main purpose of user roles in ServiceNow?,Define table structure,Control access to features and data,Store user preferences,Define workflows,, ,B,Roles control what users can see and do.
SET17-Q156,Module 3: Configure Applications for Business,Which tool allows administrators to restrict available options in a choice list based on another field?,Reference Qualifier,Dependent Choice List,UI Policy,Client Script,, ,B,Dependent choice lists limit options based on another field value.
SET17-Q157,Module 4: Database & Tables,What is the primary function of a Database View?,Store historical data,Join multiple tables for reporting,Replace schema maps,Control ACL behavior,, ,B,Database Views join tables for reporting without scripting.
SET17-Q158,Module 6: Reports & Notifications,Which ServiceNow feature allows scheduling a report to be emailed automatically?,Export,Publish,Schedule,Clone,, ,C,Scheduling emails the report automatically.
SET17-Q159,Module 7: Service Catalog,Which element is used to control who can request a catalog item?,UI Policy,User Criteria,Client Script,ACL,, ,B,User Criteria restrict who can see or request catalog items.
SET17-Q160,Module 4: Database & Tables,Which field type allows selecting multiple records from another table?,Reference,Choice,Glide List,String,, ,C,Glide Lists allow selection of multiple referenced records.
SET18-Q161,Module 3: Configure Applications for Business,What type of field allows you to display data from a related table but not permit modification?,Choice field,Reference field,Calculated field,Read-only field,, ,B,Reference fields display related record data without allowing edits to the source.
SET18-Q162,Module 3: Configure Applications for Business,How are data types defined in tables?,Using Business Rules,Using the Data Dictionary,Using UI Policies,Using Client Scripts,, ,B,The Data Dictionary defines field data types and attributes.
SET18-Q163,Module 7: Service Catalog,What ServiceNow feature allows users to request services and submit requests?,Service Portal,Agent Workspace,Now Platform UI,Application Navigator,, ,A,End users request services through the Service Portal.
SET18-Q164,Module 5: Knowledge Management,What feature allows users to suggest improvements to a knowledge article?,Comments,Flagging,Editing,Approval,, ,B,Flagging allows users to suggest changes to articles.
SET18-Q165,Module 3: Configure Applications for Business,Which module allows administrators to control which applications appear in the Application Navigator?,Application Menus,Modules,Roles,System Definition,, ,A,Application Menus define applications and modules shown in the navigator.
SET18-Q166,Module 6: Reports & Notifications,Which report type is best suited to show trends over time?,Pie,Bar,Line,Single Score,, ,C,Line charts best display trends over time.
SET18-Q167,Module 4: Database & Tables,Which feature allows tables to inherit fields from another table?,Table Extension,Schema Map,Database View,Reference Field,, ,A,Table extension enables inheritance of fields.
SET18-Q168,Module 2: User Administration,What is the recommended best practice for assigning roles to users?,Assign roles directly to users,Assign users to roles,Assign roles to groups,Assign via Business Rules,, ,C,Best practice is assigning roles to groups.
SET18-Q169,Module 3: Configure Applications for Business,Which feature allows administrators to restrict available options in a choice list?,Reference Qualifier,Dependent Choice List,UI Policy,Client Script,, ,B,Dependent choice lists restrict values based on another field.
SET18-Q170,Module 6: Reports & Notifications,Which ServiceNow feature allows reports to be sent automatically by email?,Publish,Export,Schedule,Clone,, ,C,Scheduling enables automatic email delivery of reports.
SET19-Q171,Module 7: Service Catalog,The user needs to create a record in the Service Catalog which will allow users to submit requests and create tasks based on their entry Which ServiceNow feature would you use?,Catalog Item,Record Producer,Order Guide,Workflow,, ,B,Record Producers allow users to create task-based records from the Service Catalog.
SET19-Q172,Module 3: Configure Applications for Business,What is the result of the order in which Access Controls are evaluated?,Access rules are applied randomly,Table ACLs are evaluated before field ACLs,Field ACLs override table ACLs,ACLs only apply to records,, ,B,Table-level ACLs are evaluated before field-level ACLs.
SET19-Q173,Module 4: Database & Tables,Which tool graphically displays table relationships and dependencies?,Schema Map,Database View,Dictionary Dashboard,Relationship Builder,, ,A,Schema Maps visually display table relationships.
SET19-Q174,Module 3: Configure Applications for Business,What are encoded queries primarily used for?,Creating Business Rules,Defining complex filter conditions,Running background scripts,Importing data,, ,B,Encoded queries combine multiple filter conditions into a single string.
SET19-Q175,Module 4: Database & Tables,Which record is required to identify the tables and forms that are presented in the Application Navigator?,Application Menu,Module,Table,Form Layout,, ,A,Application Menus define applications and modules shown in the navigator.
SET19-Q176,Module 6: Reports & Notifications,What is the best approach for tracking time spent on a task?,Task Timer,Response SLA,Service Level Agreement,Inactivity Monitor,, ,C,SLAs track time targets and duration for tasks.
SET19-Q177,Module 2: User Administration,What is the recommended method for assigning roles in ServiceNow?,Assign roles directly to users,Assign users to roles,Assign roles to groups,Assign via Business Rules,, ,C,Best practice is assigning roles to groups.
SET19-Q178,Module 4: Database & Tables,Which type of field allows a user to select multiple records from another table?,Reference,Choice,Glide List,String,, ,C,Glide Lists allow selection of multiple referenced records.
SET19-Q179,Module 7: Service Catalog,Which catalog feature allows reuse of variables across multiple catalog items?,Catalog Item,Order Guide,Variable Set,Flow,, ,C,Variable Sets allow reuse of variables.
SET19-Q180,Module 6: Reports & Notifications,Which feature allows reports to be scheduled and emailed automatically?,Publish,Export,Schedule,Clone,, ,C,Scheduling enables automatic email delivery.
SET20-Q181,Module 1: Platform Overview,Which application is used primarily to build apps in ServiceNow?,App Engine Studio,Update Sets,Application Configuration,Import Sets,, ,A,App Engine Studio is used to build applications.
SET20-Q182,Module 5: Knowledge Management,If a knowledge base has no users who can read articles what are the end users able to see in the knowledge base?,All articles,Only published articles,Only articles with user criteria,None of the articles,, ,D,Without read access users cannot see any articles.
SET20-Q183,Module 3: Configure Applications for Business,How would you add an Access Control rule so a user will be able to create records?,Add a record ACL with Create permission,Add a table ACL with Read permission,Add a role to the user,Add a UI Policy,, ,A,Create access is controlled by a record ACL.
SET20-Q184,Module 3: Configure Applications for Business,What does the icon of a gear represent in a list?,List properties,Personalize list,List context menu,Configure list,, ,B,The gear icon is used to personalize lists.
SET20-Q185,Module 4: Database & Tables,What feature allows you to group records by field value?,Filters,Group By,Order By,Sort,, ,B,Group By groups records based on field values.
SET20-Q186,Module 6: Reports & Notifications,Which feature allows reports to be automatically sent on a schedule?,Export,Publish,Schedule,Clone,, ,C,Scheduling enables automatic report delivery.
SET20-Q187,Module 7: Service Catalog,Which feature controls who can request a catalog item?,UI Policy,User Criteria,Client Script,ACL,, ,B,User Criteria control catalog item visibility and access.
SET20-Q188,Module 4: Database & Tables,Which module visually represents relationships between configuration items?,Schema Map,Dependency View,Database View,CI Class Manager,, ,B,Dependency View shows CI relationships visually.
SET20-Q189,Module 4: Database & Tables,Which type of record defines a reusable set of conditions for filtering records?,Filter,View,Condition Builder,Encoded Query,, ,D,Encoded Queries define reusable filter conditions.
SET20-Q190,Module 4: Database & Tables,What is the definition of a record?,A collection of related reports,A row in a table,A column in a table,A database schema,, ,B,A record is a single row in a table.
SET21-Q191,Module 3: Configure Applications for Business,In the Script field what keyword allows you to access variables defined by the current record? (Choose two),$scope,current,gs,form,event,BC,The current object and gs object are commonly used in server-side scripting.
SET21-Q192,Module 4: Database & Tables,In a list context what is stored in the table but not on the form which provides additional data about the record?,Column,Record,Field,Related List,, ,D,Related Lists display records stored in other tables related to the current record.
SET21-Q193,Module 6: Reports & Notifications,You have been asked to create a report to show open Incidents per Priority The responses are most useful when grouped and displayed visually What type of report should you use?,Bar Chart,Line Chart,Single Score,Pivot Table,, ,A,Bar charts are ideal for showing grouped counts by category.
SET21-Q194,Module 2: User Administration,Groups are stored in which table?,sys_user,sys_user_group,sys_group,sys_groups,, ,B,Groups are stored in the sys_user_group table.
SET21-Q195,Module 3: Configure Applications for Business,When managing user groups what table is used to store group membership?,sys_user,sys_user_group,sys_group_has_role,sys_user_grmember,, ,D,Group membership is stored in the sys_user_grmember table.
SET21-Q196,Module 6: Reports & Notifications,Which report type is best suited to display trends over time? (Choose three),Line,Bar,Area,Histogram,Time Series,, ,ACE,Line Area and Time Series reports display trends over time.
SET21-Q197,Module 3: Configure Applications for Business,Which module allows administrators to define access to data using conditions and scripts?,ACL Rules,UI Policies,Business Rules,Client Scripts,, ,A,Access Control Rules define data access using conditions and scripts.
SET21-Q198,Module 3: Configure Applications for Business,What feature allows administrators to restrict access to records at the field or table level?,Business Rule,UI Policy,Access Control,Form Layout,, ,C,Access Control rules restrict access to tables and fields.
SET21-Q199,Module 3: Configure Applications for Business,Which menu allows administrators to modify list layout including columns order and visibility?,List Context Menu,Personalize List,Configure List,Form Designer,, ,B,Personalize List allows users to modify list layout.
SET21-Q200,Module 6: Reports & Notifications,What feature allows administrators to group records and perform calculations such as count sum or average?,Reports,Metrics,Aggregation,Performance Analytics,, ,C,Aggregations allow grouping and calculations in reports.
SET22-Q201,Module 3: Configure Applications for Business,The Report Designer interface allows users to configure a report Which section is used to specify grouping and calculations in the report?,Style,Type,Configure,Data,, ,C,The Configure tab is used to define grouping and calculations.
SET22-Q202,Module 3: Configure Applications for Business,Which role is required to create a UI Policy on a form?,itil,admin,personalize_list,ui_policy_admin,, ,B,The admin role is required to create UI Policies.
SET22-Q203,Module 7: Service Catalog,You have been asked to add a catalog item for end users What record type is used to capture user input and create task-based records?,Catalog Item,Record Producer,Order Guide,Workflow,, ,B,Record Producers capture user input and create task-based records.
SET22-Q204,Module 7: Service Catalog,When creating a Service Catalog Item you want to apply filters to variable choices Which feature would you use?,Client Script,UI Policy,Reference Qualifier,Variable Set,, ,C,Reference Qualifiers filter the selectable values.
SET22-Q205,Module 7: Service Catalog,When creating a Service Catalog Item you want to display fields based on user input Which configuration should you use?,UI Policy,Client Script,Workflow,Reference Qualifier,, ,A,UI Policies dynamically show or hide fields based on conditions.
SET22-Q206,Module 8: Update Sets,When moving Update Sets between instances which action must be completed before the Update Set can be retrieved?,Preview,Export,Mark Complete,Commit,, ,C,An Update Set must be marked Complete before retrieval.
SET22-Q207,Module 7: Service Catalog,When editing a catalog item and changing the order of variables which field controls the display order?,Default Value,Sequence,Order field on Variable,Choice field,, ,C,The Variable Order field controls display sequence.
SET22-Q208,Module 1: Platform Overview,Which interface provides access to applications and modules in ServiceNow?,Banner Frame,Application Navigator,Content Frame,Service Portal,, ,B,The Application Navigator lists applications and modules.
SET22-Q209,Module 3: Configure Applications for Business,Which feature allows users to reuse variable questions across multiple catalog items?,Order Guide,Variable Set,Record Producer,Flow,, ,B,Variable Sets allow reuse of variables.
SET22-Q210,Module 4: Database & Tables,Which table stores relationships between configuration items?,cmdb_ci,cmdb_rel_ci,cmdb,cmdb_svc_rel,, ,B,The cmdb_rel_ci table stores CI relationships.
SET23-Q211,Module 3: Configure Applications for Business,From a list view what is used to personalize the layout of the columns?,List Layout,Configure List,Context Menu,Personalize List,, ,D,Personalize List is used to customize column layout per user.
SET23-Q212,Module 3: Configure Applications for Business,What is the language used for scripting in ServiceNow?,Java,C++,Python,JavaScript,, ,D,ServiceNow uses JavaScript for scripting.
SET23-Q213,Module 4: Database & Tables,What are examples of fields on a table? (Choose three),List Layout,Link,Reference,Date,Boolean,, ,CDE,Reference Date and Boolean are valid field types.
SET23-Q214,Module 7: Service Catalog,A Service Catalog is used for submitting requests for which of the following?,Assets only,Requests and approvals,Ordering services and items,Knowledge articles,, ,C,The Service Catalog is used to order services and items.
SET23-Q215,Module 7: Service Catalog,When a catalog item is added to the Service Catalog which record type will be mandatory on the item?,Category,Variable Set,Delivery information,Workflow,, ,A,Catalog items must belong to a Category.
SET23-Q216,Module 3: Configure Applications for Business,When designing a form how do you conditionally display fields?,Client Script,UI Policy,Data Policy,Business Rule,, ,B,UI Policies control conditional field visibility.
SET23-Q217,Module 4: Database & Tables,Which record type is required to identify the tables and forms presented in the Application Navigator?,Application Menu,Module,Form Layout,Table,, ,A,Application Menus define what appears in the Application Navigator.
SET23-Q218,Module 3: Configure Applications for Business,When importing data which record defines how imported data maps to the target table?,Import Set Table,Transform Map,Data Source,Scheduled Import,, ,B,Transform Maps define field mappings.
SET23-Q219,Module 4: Database & Tables,What type of record allows you to define reusable filter conditions?,Filter,View,Encoded Query,Condition Builder,, ,C,Encoded Queries define reusable filter conditions.
SET23-Q220,Module 6: Reports & Notifications,Which feature allows administrators to group and summarize data in reports?,Dashboards,Metrics,Aggregation,Performance Analytics,, ,C,Aggregations provide grouping and summary calculations in reports.
SET24-Q221,Module 6: Reports & Notifications,Which module can you use to create a new field? (Choose two),Dictionary,Schema Map,Table Editor,Tables & Columns,, ,AD,Fields can be created using the Dictionary or Tables & Columns.
SET24-Q222,Module 4: Database & Tables,Which of the following describes the primary common platform capabilities in the ServiceNow platform?,Service Portal and Mobile Apps,Create Read Update Delete operations,User Interface and Automation tools,Security Reporting and Notifications,, ,C,The platform provides UI and automation capabilities.
SET24-Q223,Module 3: Configure Applications for Business,What is an encoded query?,A filter saved for reuse,A query written using a specific syntax,A database index,A list layout,, ,B,Encoded queries represent filters in a compact string format.
SET24-Q224,Module 7: Service Catalog,Which functionality is used to create request forms for users?,Record Producer,UI Policy,Order Guide,Workflow,, ,A,Record Producers create forms that generate records.
SET24-Q225,Module 6: Reports & Notifications,Which ServiceNow feature provides reporting and trending analysis over time?,Reports,Dashboards,Performance Analytics,Event Management,, ,C,Performance Analytics provides historical trending.
SET24-Q226,Module 4: Database & Tables,Which module is used to view the structure of a table and its fields?,Schema Map,Tables & Columns,Dictionary Dashboard,Database Views,, ,B,Tables & Columns shows table structure.
SET24-Q227,Module 2: User Administration,Which feature allows administrators to test permissions by acting as another user?,Elevate Roles,Impersonation,User Criteria,Access Control,, ,B,Impersonation allows testing user access.
SET24-Q228,Module 7: Service Catalog,Which component controls the questions displayed on a catalog item?,Variables,Order Guide,Workflow,Category,, ,A,Variables define questions asked to users.
SET24-Q229,Module 4: Database & Tables,Which table stores relationships between Configuration Items?,cmdb_ci,cmdb,cmdb_rel_ci,cmdb_svc_rel,, ,C,cmdb_rel_ci stores CI relationships.
SET24-Q230,Module 3: Configure Applications for Business,Which feature allows inline editing of list records?,List Editor,Form Designer,UI Policy,Client Script,, ,A,List Editor allows inline editing.
SET25-Q231,Module 4: Database & Tables,In a list what type of element displays related records not stored on the same table?,Field,Record,Related List,Column,, ,C,Related Lists show records from related tables.
SET25-Q232,Module 7: Service Catalog,Which catalog feature allows multiple related items to be requested together?,Catalog Item,Order Guide,Variable Set,Workflow,, ,B,Order Guides bundle related catalog items.
SET25-Q233,Module 6: Reports & Notifications,Which report type is best suited for displaying trends over time?,Pie,Bar,Line,Single Score,, ,C,Line charts best show trends.
SET25-Q234,Module 3: Configure Applications for Business,Which tool controls the order and visibility of columns in a list?,Personalize List,Configure List,Form Designer,List Layout,, ,A,Personalize List controls column order and visibility.
SET25-Q235,Module 4: Database & Tables,Which type of field allows selecting multiple values from another table?,Reference,Choice,Glide List,String,, ,C,Glide Lists allow multiple selections.
SET25-Q236,Module 2: User Administration,Where are group membership relationships stored?,sys_user,sys_user_group,sys_user_grmember,sys_group,, ,C,sys_user_grmember stores group membership.
SET25-Q237,Module 3: Configure Applications for Business,Which feature allows restricting choice list values based on another field?,Reference Qualifier,Dependent Choice List,UI Policy,Client Script,, ,B,Dependent choice lists restrict options dynamically.
SET25-Q238,Module 6: Reports & Notifications,Which feature allows reports to be emailed on a schedule?,Publish,Export,Schedule,Clone,, ,C,Scheduling sends reports automatically.
SET25-Q239,Module 7: Service Catalog,Which record type represents an individual catalog item within a request?,REQ,RITM,SCTASK,Approval,, ,B,RITM represents each requested item.
SET25-Q240,Module 1: Platform Overview,Which interface is primarily designed for end users?,Now Platform UI,Agent Workspace,Service Portal,Application Navigator,, ,C,Service Portal is designed for end users.
SET26-Q241,Module 4: Database & Tables,How would you integrate business data from Excel files and Power BI tools?,Load Data and Transform Maps,Import Sets and Data Sources,REST APIs and MID Server,Update Sets,, ,B,Import Sets and Data Sources are used to import external data such as Excel files.
SET26-Q242,Module 4: Database & Tables,What are core tables in ServiceNow which access controls can be automatically created? (Choose two),cmdb_ci,task,user,incident,, ,AC,Access Controls can be automatically generated for core tables like task and incident.
SET26-Q243,Module 4: Database & Tables,Which table stores approval records?,sysapproval,sysapproval_approver,sys_approval,sys_approval_set,, ,B,sysapproval_approver stores approval records.
SET26-Q244,Module 3: Configure Applications for Business,Which feature allows you to change personal system settings like date format and time zone?,User Preferences,System Properties,Personalize List,UI Policy,, ,A,User Preferences allow users to control personal settings.
SET26-Q245,Module 7: Service Catalog,When building a Service Catalog item which feature controls the visibility of variables?,UI Policy,Client Script,User Criteria,Variable Set,, ,A,UI Policies control visibility of catalog variables.
SET26-Q246,Module 4: Database & Tables,Which table stores records of events that have occurred?,Event Log,Event Registry,sys_event,sys_event_log,, ,C,sys_event stores generated event records.
SET26-Q247,Module 6: Reports & Notifications,What is used to automatically notify users when a condition occurs?,Business Rule,Email Notification,Event,UI Policy,, ,B,Email Notifications alert users when conditions are met.
SET26-Q248,Module 3: Configure Applications for Business,Which feature allows reuse of filter conditions across lists and reports?,Saved Filters,Views,Encoded Queries,Templates,, ,C,Encoded Queries allow reuse of filter logic.
SET26-Q249,Module 4: Database & Tables,What type of record is required to define a reusable filter?,Filter,View,Encoded Query,Condition Builder,, ,C,Encoded Queries define reusable filters.
SET26-Q250,Module 2: User Administration,Which role is required to create and modify Access Control rules?,admin,itil,security_admin,acl_admin,, ,C,The security_admin role is required to manage ACLs.
SET27-Q251,Module 5: Knowledge Management,Which feature allows administrators to manage who can view knowledge articles?,UI Policy,Roles or User Criteria,Client Script,Business Rule,, ,B,Knowledge access is controlled using roles or user criteria.
SET27-Q252,Module 5: Knowledge Management,What are examples of Access Control Lists for knowledge bases? (Choose three),Can Read,Can Contribute,Can Author,Can Edit,Can Publish,, ,ABC,Knowledge bases define Can Read Can Contribute and Can Author permissions.
SET27-Q253,Module 5: Knowledge Management,How is a knowledge base organized?,By workflows,By categories and articles,By incidents,By roles,, ,B,Knowledge bases are structured by categories and articles.
SET27-Q254,Module 3: Configure Applications for Business,Which module allows administrators to create modules under an application?,Application Menus,Modules,Tables & Columns,Form Designer,, ,A,Modules are created under Application Menus.
SET27-Q255,Module 4: Database & Tables,From Design Studio where can you create tables?,Application Explorer,System Definition > Tables,Tables & Columns,Form Designer,, ,A,Tables are created in Application Explorer in scoped apps.
SET27-Q256,Module 3: Configure Applications for Business,Which tool allows inline editing of multiple records at once?,List Editor,Data Editor,Form Designer,UI Policy,, ,A,List Editor allows inline editing.
SET27-Q257,Module 2: User Administration,What record type stores role assignments to users?,sys_user_role,sys_role,sys_user_has_role,sys_user_grmember,, ,C,sys_user_has_role stores role assignments.
SET27-Q258,Module 4: Database & Tables,Which ServiceNow feature joins tables for reporting without scripting?,Schema Map,Database View,Reference Field,Transform Map,, ,B,Database Views join tables for reporting.
SET27-Q259,Module 7: Service Catalog,Which feature allows grouping catalog items logically?,Variables,Order Guides,Categories,Flows,, ,C,Categories organize catalog items.
SET27-Q260,Module 6: Reports & Notifications,Which report type displays values over time?,Bar,Line,Pie,Single Score,, ,B,Line charts display trends over time.
SET28-Q261,Module 7: Service Catalog,Which record type allows users to submit requests and create task-based records from the Service Catalog?,Catalog Item,Order Guide,Record Producer,Workflow,, ,C,Record Producers allow users to submit forms that create task-based records.
SET28-Q262,Module 7: Service Catalog,Which feature controls whether a catalog item is visible to a user?,UI Policy,Client Script,User Criteria,ACL,, ,C,User Criteria determines catalog item visibility.
SET28-Q263,Module 3: Configure Applications for Business,When designing a form which feature allows you to dynamically show or hide fields?,Client Script,UI Policy,Data Policy,Business Rule,, ,B,UI Policies dynamically control field visibility.
SET28-Q264,Module 4: Database & Tables,Which module graphically displays relationships between tables?,Database Views,Schema Map,Tables & Columns,Dictionary Dashboard,, ,B,Schema Maps visually display table relationships.
SET28-Q265,Module 6: Reports & Notifications,Which report type is best suited to show a single KPI value?,List,Bar,Pie,Single Score,, ,D,Single Score reports display one KPI.
SET28-Q266,Module 2: User Administration,Which feature allows administrators to temporarily gain additional roles?,Role Assignment,Impersonation,Elevate Roles,User Criteria,, ,C,Elevate Roles allows temporary role elevation.
SET28-Q267,Module 3: Configure Applications for Business,Which tool allows inline editing of records in a list?,Form Designer,Data Editor,List Editor,UI Policy,, ,C,List Editor allows inline list editing.
SET28-Q268,Module 4: Database & Tables,Which field type allows selecting multiple records from another table?,Reference,Choice,Glide List,String,, ,C,Glide Lists support multiple selections.
SET28-Q269,Module 6: Reports & Notifications,Which feature allows reports to be sent automatically by email?,Publish,Export,Schedule,Clone,, ,C,Scheduling enables automatic email delivery.
SET28-Q270,Module 1: Platform Overview,Which interface is primarily designed for end users to request services?,Agent Workspace,Now Platform UI,Service Portal,Application Navigator,, ,C,The Service Portal is designed for end users.
SET29-Q271,Module 3: Configure Applications for Business,Which menu allows users to modify the order and visibility of columns in a list?,Configure List,Personalize List,List Context Menu,Form Designer,, ,B,Personalize List allows users to adjust column order and visibility.
SET29-Q272,Module 4: Database & Tables,Which record defines the fields and attributes for a table?,sys_db_object,sys_dictionary,sys_metadata,sys_table,, ,B,The System Dictionary defines table fields and attributes.
SET29-Q273,Module 6: Reports & Notifications,Which feature allows grouping and performing calculations such as count or average in reports?,Dashboards,Metrics,Aggregation,Performance Analytics,, ,C,Aggregations allow grouping and calculations in reports.
SET29-Q274,Module 2: User Administration,Which table stores the relationship between users and groups?,sys_user,sys_user_group,sys_user_grmember,sys_group,, ,C,sys_user_grmember stores user-group relationships.
SET29-Q275,Module 7: Service Catalog,Which record type represents an individual item within a Service Catalog request?,REQ,RITM,SCTASK,Approval,, ,B,RITM represents each requested item.
SET29-Q276,Module 3: Configure Applications for Business,Which feature allows reuse of variable questions across multiple catalog items?,Order Guide,Variable Set,Record Producer,Flow,, ,B,Variable Sets allow reuse of variables.
SET29-Q277,Module 4: Database & Tables,Which table stores relationships between configuration items?,cmdb,cmdb_ci,cmdb_rel_ci,cmdb_svc_rel,, ,C,cmdb_rel_ci stores CI relationships.
SET29-Q278,Module 6: Reports & Notifications,Which report type best displays trends over time?,Pie,Bar,Line,Single Score,, ,C,Line charts best show trends.
SET29-Q279,Module 3: Configure Applications for Business,Which feature allows filtering list data using natural language?,Encoded Query,Condition Builder,Natural Language Query,Query Builder,, ,C,Natural Language Query enables human-language filtering.
SET29-Q280,Module 1: Platform Overview,Which component displays applications and modules in ServiceNow?,Banner Frame,Content Frame,Application Navigator,Service Portal,, ,C,The Application Navigator lists applications and modules.
SET30-Q281,Module 7: Service Catalog,Which component of the ServiceNow interface allows users to request items listed in the system?,List,Form,Service Portal,Application Navigator,, ,C,End users request services through the Service Portal.
SET30-Q282,Module 3: Configure Applications for Business,Which data object can be addressed using a Policy? (Choose two),Fields,Records,Tables,UI Actions,, ,AC,Policies commonly act on fields and records.
SET30-Q283,Module 3: Configure Applications for Business,An Order Guide is used to?,Group multiple catalog items into a single request,Create workflow approvals only,Restrict access to catalog items,Replace Record Producers,, ,A,Order Guides bundle multiple catalog items into one request.
SET30-Q284,Module 4: Database & Tables,What type of record is used to define the attributes of fields on a table?,Business Rule,Dictionary Entry,UI Policy,ACL,, ,B,Dictionary entries define field attributes.
SET30-Q285,Module 3: Configure Applications for Business,Which feature controls the visibility of catalog item variables?,Client Script,UI Policy,User Criteria,ACL,, ,B,UI Policies control visibility of variables.
SET30-Q286,Module 6: Reports & Notifications,Which feature is used to group and summarize report data?,Metrics,Aggregation,Dashboards,Indicators,, ,B,Aggregations provide grouping and calculations.
SET30-Q287,Module 4: Database & Tables,Which table stores group membership information?,sys_user,sys_user_group,sys_user_grmember,sys_group,, ,C,sys_user_grmember stores user-group relationships.
SET30-Q288,Module 3: Configure Applications for Business,Which feature allows filtering records using plain English?,Query Builder,Encoded Query,Natural Language Query,Condition Builder,, ,C,Natural Language Query allows human-language filtering.
SET30-Q289,Module 6: Reports & Notifications,Which report type is best suited to display trends over time?,Pie,Bar,Line,Single Score,, ,C,Line charts best display trends.
SET30-Q290,Module 1: Platform Overview,Which element displays applications and modules?,Banner Frame,Application Navigator,Content Frame,Service Portal,, ,B,Applications and modules appear in the Application Navigator.
SET31-Q291,Module 3: Configure Applications for Business,Which component allows administrators to modify list layouts for all users?,Personalize List,Configure List,Form Designer,UI Policy,, ,B,Configure List modifies default list layouts.
SET31-Q292,Module 4: Database & Tables,Which table stores approval records for tasks?,sysapproval,sysapproval_approver,sys_approval,sys_task_approval,, ,B,sysapproval_approver stores approval records.
SET31-Q293,Module 6: Reports & Notifications,Which feature sends emails when record conditions are met?,Email Notification,Workflow,UI Policy,Event,, ,A,Email Notifications send messages based on conditions.
SET31-Q294,Module 2: User Administration,Which role allows access to most platform functionality?,itil,admin,security_admin,approver_user,, ,B,The admin role provides broad access.
SET31-Q295,Module 7: Service Catalog,Which record represents an individual item requested from the catalog?,REQ,RITM,SCTASK,Approval,, ,B,RITM represents each requested item.
SET31-Q296,Module 4: Database & Tables,Which feature allows one table to inherit fields from another?,Reference Field,Table Extension,Schema Map,Database View,, ,B,Table extension enables inheritance.
SET31-Q297,Module 3: Configure Applications for Business,Which feature allows inline editing of list records?,Form Designer,Data Editor,List Editor,UI Policy,, ,C,List Editor enables inline editing.
